Valutazione dell'overhead medio di codifica per una codifica rateless
Nelle tabelle, le colonne sono il numero k di blocchi della sorgente, le righe il numero n di blocchi che emette l'encoder
I risultati sono la probabilita' p che la decodifica termini con successo.

Distribuzione utilizzata: Robust Soliton Distribution
	 50	 100	 200	 500
--------|-------|-------|-------|-------|
 1	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.1	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.2	|0.0000	|0.0800	|0.0500	|0.3100	|
--------|-------|-------|-------|-------|
 1.3	|0.1700	|0.2800	|0.5100	|0.9100	|
--------|-------|-------|-------|-------|
 1.4	|0.3900	|0.6700	|0.8500	|0.9800	|
--------|-------|-------|-------|-------|
 1.5	|0.6200	|0.8000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 1.6	|0.7200	|0.8700	|0.9800	|1.0000	|
--------|-------|-------|-------|-------|
 1.7	|0.8200	|0.9400	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 1.8	|0.8600	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 1.9	|0.9200	|0.9900	|0.9800	|1.0000	|
--------|-------|-------|-------|-------|
 2	|0.9600	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 2.1	|0.9900	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 2.2	|0.9700	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 2.3	|1.0000	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 2.4	|1.0000	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 2.5	|1.0000	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 2.6	|1.0000	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 2.7	|1.0000	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 2.8	|0.9900	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 2.9	|1.0000	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|
 3	|0.9700	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|

Distribuzione utilizzata: Uniform Distribution
	 50	 100	 200	 500
--------|-------|-------|-------|-------|
 1	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.1	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.2	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.3	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.4	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.5	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.6	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.7	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.8	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.9	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 2	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 2.1	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 2.2	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 2.3	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 2.4	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 2.5	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 2.6	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 2.7	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 2.8	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 2.9	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 3	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|

Distribuzione utilizzata: Inverse Exponential Distribution
	 50	 100	 200	 500
--------|-------|-------|-------|-------|
 1	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.1	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.2	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.3	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.4	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.5	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.6	|0.0100	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.7	|0.0000	|0.0000	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.8	|0.0100	|0.0300	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 1.9	|0.0300	|0.0200	|0.0000	|0.0000	|
--------|-------|-------|-------|-------|
 2	|0.1000	|0.0800	|0.0200	|0.0100	|
